"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00500235","01","    0.28",,"   -15.1","    -9.3","   -21.0"
"USC00500235","02","    0.62",,"   -12.1","    -5.7","   -18.5"
"USC00500235","03","    0.41",,"   -11.3","    -4.4","   -18.1"
"USC00500235","04","    0.46",,"     6.0","    13.2","    -1.1"
"USC00500235","05","    0.26",,"    26.8","    31.8","    21.9"
"USC00500235","06","    0.79",,"    42.5","    49.0","    35.9"
"USC00500235","07","    1.51",,"    50.2","    57.5","    42.9"
"USC00500235","08","    1.39",,"    45.1","    50.7","    39.4"
"USC00500235","09","    1.00",,"    37.0","    41.3","    32.8"
"USC00500235","10","    0.91",,"    23.6","    27.3","    19.9"
"USC00500235","11","    0.62",,"     4.8","    10.5","    -0.8"
"USC00500235","12","    0.60",,"    -7.7","    -1.5","   -13.9"
