YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1871,32.6,35.9,48.0,58.2,63.9,73.2,74.0,76.8,62.3,58.1,42.3,32.1
1872,31.7,33.7,35.4,56.0,67.4,75.4,81.1,79.0,69.0,55.5,42.5,31.0
1873,32.2,34.8,41.8,53.1,63.6,75.1,79.8,74.8,68.0,54.9,40.8,40.5
1874,39.4,37.2,44.5,47.1,63.8,77.5,78.9,72.7,70.1,55.9,44.6,39.2
1875,28.5,28.8,39.1,48.0,63.6,72.9,77.0,71.9,64.6,53.6,41.0,36.8
1876,40.4,36.7,39.4,51.4,64.5,75.8,80.4,75.5,65.2,50.7,45.2,27.1
1877,29.4,39.4,41.0,52.9,61.9,73.9,77.8,76.3,66.9,58.6,46.2,41.8
1878,33.5,39.8,49.4,58.3,62.5,69.1,80.2,75.0,68.9,57.0,45.4,33.3
1879,30.8,32.2,43.8,52.8,65.7,73.3,79.0,75.3,65.2,63.0,46.7,41.9
1880,41.9,40.8,41.8,55.5,70.5,74.3,76.7,74.9,67.9,54.9,40.2,29.0
1881,27.6,32.8,40.1,50.3,67.0,70.7,77.4,76.5,78.2,62.9,47.5,41.7
1882,33.2,40.4,44.1,50.8,59.2,73.8,76.0,73.9,69.1,60.9,42.9,34.1
1883,29.6,37.5,37.6,50.9,63.6,74.4,76.8,72.1,65.1,56.9,47.2,36.9
1884,29.4,40.9,42.2,50.9,64.4,72.5,74.2,74.2,71.7,59.6,44.7,36.0
1885,32.9,26.9,34.5,53.1,62.3,71.1,77.8,73.4,66.1,54.7,45.3,37.5
1886,28.9,32.1,42.0,55.5,62.1,69.9,73.9,73.1,69.3,57.6,46.1,30.7
1887,32.9,38.9,38.5,51.6,67.9,72.1,80.5,73.2,65.0,55.4,41.9,37.2
1888,30.2,35.7,37.4,52.9,62.7,73.0,73.6,75.8,64.8,52.6,47.4,37.5
1889,39.2,31.1,43.4,54.4,64.6,70.8,75.8,72.4,65.6,52.5,46.2,45.6
1890,43.8,43.4,41.4,53.6,63.8,74.8,75.0,73.6,67.8,56.4,48.0,34.2
1891,37.4,41.4,38.6,55.4,61.4,71.6,72.0,74.5,70.3,54.4,44.0,43.2
1892,31.6,37.0,37.7,51.4,63.8,76.2,75.8,76.2,66.1,55.4,43.7,33.2
1893,24.6,35.1,41.1,53.8,61.6,72.5,77.0,74.6,66.0,56.5,43.6,38.3
1894,37.8,35.2,48.5,53.2,65.9,73.6,77.9,74.0,71.4,57.9,44.0,37.4
1895,31.6,26.2,41.8,53.8,62.6,74.6,72.8,77.2,72.4,52.1,46.4,38.8
1896,33.3,36.7,38.5,56.6,68.8,71.3,76.7,75.8,67.8,54.0,50.6,35.6
1897,31.0,36.6,46.0,52.9,62.4,69.6,76.9,73.4,68.2,58.0,46.0,38.1
1898,36.6,35.0,48.8,50.9,64.4,73.5,78.8,76.9,71.0,57.8,44.0,35.6
1899,33.4,27.4,42.2,54.0,64.4,74.3,76.6,74.8,65.8,58.5,45.3,36.2
1900,35.2,33.7,38.8,54.2,64.4,72.2,78.7,79.6,73.6,61.6,49.2,36.5
1901,34.9,29.8,45.0,50.6,62.5,72.4,79.8,76.0,67.4,55.6,40.6,34.8
1902,31.8,29.8,46.7,52.9,65.4,71.8,77.0,72.6,66.8,57.6,51.3,34.4
1903,33.4,37.4,50.0,54.0,64.4,67.0,76.0,71.8,67.2,56.8,41.6,32.2
1904,27.5,28.4,42.2,49.7,65.0,71.0,74.4,72.3,67.4,54.1,43.1,30.9
1905,29.8,26.4,45.0,54.0,65.2,71.8,76.4,73.6,68.2,56.9,44.4,37.5
1906,40.0,34.0,37.6,55.5,64.4,72.8,75.2,76.4,72.9,56.9,47.8,37.0
1907,37.2,30.2,48.8,48.4,59.2,65.9,75.8,72.4,69.4,52.0,44.5,38.1
1908,34.2,30.8,47.4,56.4,65.3,71.8,78.0,73.2,66.6,58.2,46.0,37.0
1909,36.0,43.0,42.1,54.2,64.4,73.9,74.7,73.0,66.4,53.2,50.8,31.8
1910,33.6,34.6,51.2,57.9,61.4,69.7,77.6,73.8,71.0,60.2,41.4,30.5
1911,38.2,37.0,41.0,51.2,70.0,73.0,78.7,76.6,70.4,57.2,42.8,41.0
1912,25.0,31.0,40.9,55.6,65.1,70.4,75.8,73.4,70.4,59.3,46.9,40.0
1913,43.6,36.6,49.0,55.5,64.4,72.8,77.6,74.2,67.4,58.8,47.8,40.4
1914,38.6,30.1,39.4,53.5,67.0,73.8,75.9,76.4,66.0,60.2,45.4,32.8
1915,35.6,38.8,38.8,59.4,62.5,70.6,76.1,74.0,71.0,58.6,46.2,35.2
1916,39.8,34.2,37.9,53.4,66.7,69.7,77.8,75.2,66.6,56.6,46.3,35.5
1917,35.0,32.8,43.4,54.2,59.6,72.6,76.6,75.9,63.8,52.0,42.8,27.9
1918,23.7,36.8,48.4,53.2,69.6,70.8,74.4,77.6,64.2,60.6,46.3,41.6
1919,38.1,37.2,46.4,53.8,64.6,73.9,77.2,73.6,69.4,63.2,46.8,32.6
1920,28.7,32.7,45.5,52.6,60.0,71.6,75.0,74.8,68.8,61.2,45.9,39.3
1921,36.6,39.0,55.5,59.2,62.3,74.2,79.3,72.8,74.4,57.0,47.5,37.9
1922,32.0,38.6,45.4,55.6,66.8,74.5,76.6,73.1,69.9,59.4,47.9,37.6
1923,36.8,32.6,45.4,53.6,63.4,75.6,75.7,74.4,69.6,56.1,45.1,45.0
1924,35.0,34.2,42.6,51.9,60.0,71.3,75.0,74.8,64.3,57.4,46.0,36.4
1925,32.9,43.0,46.4,56.9,60.6,77.4,76.8,73.0,72.8,52.0,44.3,37.0
1926,33.8,36.5,40.1,51.1,64.3,69.1,76.7,76.4,69.0,57.2,45.1,33.8
1927,34.0,42.1,47.6,51.9,64.0,68.6,76.4,70.0,70.1,60.4,51.0,39.1
1928,35.9,37.6,44.1,51.9,63.1,71.0,78.1,77.0,64.9,59.9,49.4,39.2
1929,34.9,35.0,50.2,57.6,64.5,72.9,76.9,74.4,70.2,55.6,47.6,38.4
1930,35.6,41.9,45.0,53.2,67.3,75.1,80.4,76.8,76.0,56.2,46.7,35.7
1931,37.0,39.4,41.3,54.2,65.1,73.3,79.6,75.6,74.1,61.2,54.0,44.2
1932,46.8,42.9,40.0,52.6,64.2,73.2,77.4,77.8,70.3,58.0,44.7,39.6
1933,42.6,38.4,43.0,55.7,67.2,74.7,76.1,76.0,71.8,56.5,45.0,38.6
1934,39.1,24.6,41.2,53.9,66.5,77.2,80.8,74.1,70.6,56.2,49.6,37.3
1935,33.3,35.4,50.2,51.9,61.8,73.4,79.4,76.8,67.0,58.2,50.2,32.1
1936,30.6,29.6,50.3,52.2,67.4,72.8,78.4,77.9,71.4,59.7,45.0,39.8
