,month,year,state,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
0,01,1950,Alabama,53.8,45.9,-86.8283719359,32.7898321918
1,01,1950,Arizona,39.6,41.1,-111.664418336,34.2931098705
2,01,1950,Arkansas,45.6,40.4,-92.4392676639,34.8997453322
3,01,1950,California,39.4,42.7,-119.610698951,37.2460706736
4,01,1950,Colorado,25.2,24.5,-105.547824721,38.9985518194
5,01,1950,Connecticut,32.5,27.3,-72.7257060428,41.6202863352
6,01,1950,Delaware,42.0,34.8,-75.4004040929,38.8870164548
7,01,1950,Florida,64.4,58.3,-81.7974638723,28.6284392647
8,01,1950,Georgia,53.5,46.6,-83.4463418309,32.6492290722
9,01,1950,Idaho,20.4,22.9,-114.659382348,44.0890895052
10,01,1950,Illinois,33.1,27.4,-89.1983967614,40.0650409125
11,01,1950,Indiana,35.2,28.5,-86.2756397346,39.9081412284
12,01,1950,Iowa,21.0,20.2,-93.5000649605,42.0746268788
13,01,1950,Kansas,31.0,30.1,-98.3802131736,38.4847081514
14,01,1950,Kentucky,41.8,35.0,-85.2904560935,37.5266674638
15,01,1950,Louisiana,57.6,50.2,-92.5856620163,31.0584069584
16,01,1950,Maine,20.6,15.9,-69.2266474552,45.3714334913
17,01,1950,Maryland,41.1,33.9,-76.7724546076,39.0369222963
18,01,1950,Massachusetts,31.6,26.1,-71.7986394244,42.2533023991
19,01,1950,Michigan,23.8,20.7,-85.4371669561,44.3506813109
20,01,1950,Minnesota,5.2,9.7,-94.3090126515,46.3163329315
21,01,1950,Mississippi,54.0,46.1,-89.6652136847,32.750866634
22,01,1950,Missouri,35.3,31.3,-92.4774101578,38.3676131565
23,01,1950,Montana,6.8,18.8,-109.645148622,47.0335364218
24,01,1950,Nebraska,21.2,23.7,-99.8108090713,41.5271489603
25,01,1950,Nevada,28.2,30.5,-116.65522549,39.3562373462
26,01,1950,New Hampshire,24.7,19.4,-71.5775941473,43.6856317461
27,01,1950,New Jersey,37.8,31.4,-74.6607541123,40.1844273633
28,01,1950,New Mexico,34.8,34.0,-106.108388616,34.4213707591
29,01,1950,New York,28.4,22.2,-75.5031182762,42.9403901101
30,01,1950,North Carolina,47.7,40.8,-79.3723797543,35.5415341226
31,01,1950,North Dakota,-2.4,9.6,-100.469321077,47.446338517
32,01,1950,Ohio,35.6,28.7,-82.7900611953,40.291452206
33,01,1950,Oklahoma,39.4,37.8,-97.5082927121,35.5834856477
34,01,1950,Oregon,27.0,31.1,-120.555413394,43.9366481606
35,01,1950,Pennsylvania,33.7,27.1,-77.7995595623,40.8738378455
36,01,1950,Rhode Island,34.8,29.1,-71.5536120535,41.6760813901
37,01,1950,South Carolina,51.4,45.1,-80.8961396866,33.9079742468
38,01,1950,South Dakota,9.8,17.5,-100.230507516,44.4361607025
39,01,1950,Tennessee,45.3,38.3,-86.3433803654,35.8429870949
40,01,1950,Texas,50.0,46.1,-99.3506971451,31.4844643819
41,01,1950,Utah,24.0,26.2,-111.678216374,39.3237947509
42,01,1950,Vermont,24.0,17.8,-72.6626493581,44.0751958252
43,01,1950,Virginia,43.0,35.8,-78.8122544727,37.5150238913
44,01,1950,Washington,21.7,29.5,-120.446866425,47.3809688818
45,01,1950,West Virginia,39.4,31.8,-80.6137119661,38.6425987436
46,01,1950,Wisconsin,15.4,15.3,-90.0116942643,44.6380301915
47,01,1950,Wyoming,17.1,19.5,-107.551454075,42.999642032
48,02,1950,Alabama,56.0,46.5,-86.8283719359,32.7898321918
49,02,1950,Arizona,43.5,42.7,-111.664418336,34.2931098705
50,02,1950,Arkansas,46.5,41.2,-92.4392676639,34.8997453322
51,02,1950,California,41.9,43.8,-119.610698951,37.2460706736
52,02,1950,Colorado,27.6,25.6,-105.547824721,38.9985518194
53,02,1950,Connecticut,29.2,25.8,-72.7257060428,41.6202863352
54,02,1950,Delaware,40.2,33.8,-75.4004040929,38.8870164548
55,02,1950,Florida,64.7,58.6,-81.7974638723,28.6284392647
56,02,1950,Georgia,55.4,47.3,-83.4463418309,32.6492290722
57,02,1950,Idaho,21.8,24.2,-114.659382348,44.0890895052
58,02,1950,Illinois,30.8,27.3,-89.1983967614,40.0650409125
59,02,1950,Indiana,33.0,28.0,-86.2756397346,39.9081412284
